Entity,Code,Date,deaths,fivedeath
Kosovo,OWID_KOS,"May 2, 2020",22,24
Kosovo,OWID_KOS,"May 3, 2020",22,25
Kosovo,OWID_KOS,"May 4, 2020",22,26
Kosovo,OWID_KOS,"May 5, 2020",26,27
Kosovo,OWID_KOS,"May 6, 2020",26,28
Kosovo,OWID_KOS,"May 7, 2020",26,29
Kosovo,OWID_KOS,"May 8, 2020",27,30
Kosovo,OWID_KOS,"May 9, 2020",28,31
Kosovo,OWID_KOS,"May 10, 2020",28,32
Kosovo,OWID_KOS,"May 11, 2020",28,33
Kosovo,OWID_KOS,"May 12, 2020",28,34
Kosovo,OWID_KOS,"May 13, 2020",29,35
Kosovo,OWID_KOS,"May 14, 2020",29,36
Kosovo,OWID_KOS,"May 15, 2020",29,37
Kosovo,OWID_KOS,"May 16, 2020",29,38
Kuwait,KWT,"Apr 18, 2020",5,0
Kuwait,KWT,"Apr 19, 2020",6,1
Kuwait,KWT,"Apr 20, 2020",7,2
Kuwait,KWT,"Apr 21, 2020",9,3
Kuwait,KWT,"Apr 22, 2020",11,4
Kuwait,KWT,"Apr 23, 2020",13,5
Kuwait,KWT,"Apr 24, 2020",14,6
Kuwait,KWT,"Apr 25, 2020",15,7
Kuwait,KWT,"Apr 26, 2020",19,8
Kuwait,KWT,"Apr 27, 2020",20,9
Kuwait,KWT,"Apr 28, 2020",22,10
Kuwait,KWT,"Apr 29, 2020",23,11
Kuwait,KWT,"Apr 30, 2020",24,12
Kuwait,KWT,"May 1, 2020",26,13
Kuwait,KWT,"May 2, 2020",30,14
Kuwait,KWT,"May 3, 2020",33,15
Kuwait,KWT,"May 4, 2020",38,16
Kuwait,KWT,"May 5, 2020",40,17
Kuwait,KWT,"May 6, 2020",40,18
Kuwait,KWT,"May 7, 2020",42,19
Kuwait,KWT,"May 8, 2020",44,20
Kuwait,KWT,"May 9, 2020",47,21
Kuwait,KWT,"May 10, 2020",49,22
Kuwait,KWT,"May 11, 2020",58,23
Kuwait,KWT,"May 12, 2020",65,24
Kuwait,KWT,"May 13, 2020",75,25
Kuwait,KWT,"May 14, 2020",82,26
Kuwait,KWT,"May 15, 2020",88,27
Kuwait,KWT,"May 16, 2020",96,28
Kyrgyzstan,KGZ,"Apr 10, 2020",5,0
Kyrgyzstan,KGZ,"Apr 11, 2020",5,1
Kyrgyzstan,KGZ,"Apr 12, 2020",5,2
Kyrgyzstan,KGZ,"Apr 13, 2020",5,3
Kyrgyzstan,KGZ,"Apr 14, 2020",5,4
Kyrgyzstan,KGZ,"Apr 15, 2020",5,5
Kyrgyzstan,KGZ,"Apr 16, 2020",5,6
Kyrgyzstan,KGZ,"Apr 17, 2020",5,7
Kyrgyzstan,KGZ,"Apr 18, 2020",5,8
Kyrgyzstan,KGZ,"Apr 19, 2020",5,9
Kyrgyzstan,KGZ,"Apr 20, 2020",7,10
Kyrgyzstan,KGZ,"Apr 21, 2020",7,11
Kyrgyzstan,KGZ,"Apr 22, 2020",7,12
Kyrgyzstan,KGZ,"Apr 23, 2020",8,13
Kyrgyzstan,KGZ,"Apr 24, 2020",8,14
Kyrgyzstan,KGZ,"Apr 25, 2020",8,15
Kyrgyzstan,KGZ,"Apr 26, 2020",8,16
Kyrgyzstan,KGZ,"Apr 27, 2020",8,17
Kyrgyzstan,KGZ,"Apr 28, 2020",8,18
Kyrgyzstan,KGZ,"Apr 29, 2020",8,19
Kyrgyzstan,KGZ,"Apr 30, 2020",8,20
Kyrgyzstan,KGZ,"May 1, 2020",8,21
Kyrgyzstan,KGZ,"May 2, 2020",8,22
Kyrgyzstan,KGZ,"May 3, 2020",10,23
Kyrgyzstan,KGZ,"May 4, 2020",10,24
Kyrgyzstan,KGZ,"May 5, 2020",11,25
Kyrgyzstan,KGZ,"May 6, 2020",12,26
Kyrgyzstan,KGZ,"May 7, 2020",12,27
Kyrgyzstan,KGZ,"May 8, 2020",12,28
Kyrgyzstan,KGZ,"May 9, 2020",12,29
Kyrgyzstan,KGZ,"May 10, 2020",12,30
Kyrgyzstan,KGZ,"May 11, 2020",12,31
Kyrgyzstan,KGZ,"May 12, 2020",12,32
Kyrgyzstan,KGZ,"May 13, 2020",12,33
Kyrgyzstan,KGZ,"May 14, 2020",12,34
Kyrgyzstan,KGZ,"May 15, 2020",14,35
Kyrgyzstan,KGZ,"May 16, 2020",14,36
Laos,LAO,"Mar 25, 2020",0,
Laos,LAO,"Mar 26, 2020",0,
Laos,LAO,"Mar 27, 2020",0,
Laos,LAO,"Mar 28, 2020",0,
Laos,LAO,"Mar 29, 2020",0,
Laos,LAO,"Mar 30, 2020",0,
Laos,LAO,"Mar 31, 2020",0,
Laos,LAO,"Apr 1, 2020",0,
Laos,LAO,"Apr 2, 2020",0,
Laos,LAO,"Apr 3, 2020",0,
Laos,LAO,"Apr 4, 2020",0,
Laos,LAO,"Apr 5, 2020",0,
Laos,LAO,"Apr 6, 2020",0,
Laos,LAO,"Apr 7, 2020",0,
Laos,LAO,"Apr 8, 2020",0,
Laos,LAO,"Apr 9, 2020",0,
Laos,LAO,"Apr 10, 2020",0,
Laos,LAO,"Apr 11, 2020",0,
Laos,LAO,"Apr 12, 2020",0,
Laos,LAO,"Apr 13, 2020",0,
Laos,LAO,"Apr 14, 2020",0,
Laos,LAO,"Apr 15, 2020",0,
Laos,LAO,"Apr 16, 2020",0,
Laos,LAO,"Apr 17, 2020",0,
Laos,LAO,"Apr 18, 2020",0,
Laos,LAO,"Apr 19, 2020",0,
Laos,LAO,"Apr 20, 2020",0,
Laos,LAO,"Apr 21, 2020",0,
Laos,LAO,"Apr 22, 2020",0,
Laos,LAO,"Apr 23, 2020",0,
Laos,LAO,"Apr 24, 2020",0,
Laos,LAO,"Apr 25, 2020",0,
Laos,LAO,"Apr 26, 2020",0,
Laos,LAO,"Apr 27, 2020",0,
Laos,LAO,"Apr 28, 2020",0,
Laos,LAO,"Apr 29, 2020",0,
Laos,LAO,"Apr 30, 2020",0,
Laos,LAO,"May 1, 2020",0,
Laos,LAO,"May 2, 2020",0,
Laos,LAO,"May 3, 2020",0,
Laos,LAO,"May 4, 2020",0,
Laos,LAO,"May 5, 2020",0,
Laos,LAO,"May 6, 2020",0,
Laos,LAO,"May 7, 2020",0,
Laos,LAO,"May 8, 2020",0,
Laos,LAO,"May 9, 2020",0,
Laos,LAO,"May 10, 2020",0,
Laos,LAO,"May 11, 2020",0,
Laos,LAO,"May 12, 2020",0,
Laos,LAO,"May 13, 2020",0,
Laos,LAO,"May 14, 2020",0,
Laos,LAO,"May 15, 2020",0,
Laos,LAO,"May 16, 2020",0,
Latvia,LVA,"Apr 13, 2020",5,0
Latvia,LVA,"Apr 14, 2020",5,1
Latvia,LVA,"Apr 15, 2020",5,2
Latvia,LVA,"Apr 16, 2020",5,3
Latvia,LVA,"Apr 17, 2020",5,4
Latvia,LVA,"Apr 18, 2020",5,5
Latvia,LVA,"Apr 19, 2020",5,6
Latvia,LVA,"Apr 20, 2020",5,7
Latvia,LVA,"Apr 21, 2020",5,8
Latvia,LVA,"Apr 22, 2020",9,9
Latvia,LVA,"Apr 23, 2020",11,10
Latvia,LVA,"Apr 24, 2020",11,11
Latvia,LVA,"Apr 25, 2020",12,12
Latvia,LVA,"Apr 26, 2020",12,13
Latvia,LVA,"Apr 27, 2020",12,14
Latvia,LVA,"Apr 28, 2020",13,15
Latvia,LVA,"Apr 29, 2020",13,16
Latvia,LVA,"Apr 30, 2020",15,17
Latvia,LVA,"May 1, 2020",15,18
Latvia,LVA,"May 2, 2020",16,19
Latvia,LVA,"May 3, 2020",16,20
Latvia,LVA,"May 4, 2020",16,21
Latvia,LVA,"May 5, 2020",16,22
Latvia,LVA,"May 6, 2020",17,23
Latvia,LVA,"May 7, 2020",17,24
Latvia,LVA,"May 8, 2020",18,25
Latvia,LVA,"May 9, 2020",18,26
Latvia,LVA,"May 10, 2020",18,27
Latvia,LVA,"May 11, 2020",18,28
Latvia,LVA,"May 12, 2020",18,29
Latvia,LVA,"May 13, 2020",18,30
Latvia,LVA,"May 14, 2020",19,31
Latvia,LVA,"May 15, 2020",19,32
Latvia,LVA,"May 16, 2020",19,33
Lebanon,LBN,"Mar 27, 2020",6,0
Lebanon,LBN,"Mar 28, 2020",7,1
Lebanon,LBN,"Mar 29, 2020",8,2
Lebanon,LBN,"Mar 30, 2020",10,3
Lebanon,LBN,"Mar 31, 2020",11,4
Lebanon,LBN,"Apr 1, 2020",12,5
Lebanon,LBN,"Apr 2, 2020",12,6
Lebanon,LBN,"Apr 3, 2020",16,7
Lebanon,LBN,"Apr 4, 2020",16,8
Lebanon,LBN,"Apr 5, 2020",17,9
Lebanon,LBN,"Apr 6, 2020",18,10
Lebanon,LBN,"Apr 7, 2020",19,11
Lebanon,LBN,"Apr 8, 2020",19,12
Lebanon,LBN,"Apr 9, 2020",19,13
Lebanon,LBN,"Apr 10, 2020",19,14
Lebanon,LBN,"Apr 11, 2020",20,15
Lebanon,LBN,"Apr 12, 2020",20,16
Lebanon,LBN,"Apr 13, 2020",20,17
Lebanon,LBN,"Apr 14, 2020",20,18
Lebanon,LBN,"Apr 15, 2020",21,19
Lebanon,LBN,"Apr 16, 2020",21,20
Lebanon,LBN,"Apr 17, 2020",21,21
Lebanon,LBN,"Apr 18, 2020",21,22
Lebanon,LBN,"Apr 19, 2020",21,23
Lebanon,LBN,"Apr 20, 2020",21,24
Lebanon,LBN,"Apr 21, 2020",21,25
Lebanon,LBN,"Apr 22, 2020",21,26
Lebanon,LBN,"Apr 23, 2020",22,27
Lebanon,LBN,"Apr 24, 2020",22,28
Lebanon,LBN,"Apr 25, 2020",22,29
Lebanon,LBN,"Apr 26, 2020",24,30
Lebanon,LBN,"Apr 27, 2020",24,31
Lebanon,LBN,"Apr 28, 2020",24,32
Lebanon,LBN,"Apr 29, 2020",24,33
Lebanon,LBN,"Apr 30, 2020",24,34
Lebanon,LBN,"May 1, 2020",24,35
Lebanon,LBN,"May 2, 2020",24,36
Lebanon,LBN,"May 3, 2020",25,37
Lebanon,LBN,"May 4, 2020",25,38
Lebanon,LBN,"May 5, 2020",25,39
Lebanon,LBN,"May 6, 2020",25,40
Lebanon,LBN,"May 7, 2020",25,41
Lebanon,LBN,"May 8, 2020",25,42
Lebanon,LBN,"May 9, 2020",26,43
Lebanon,LBN,"May 10, 2020",26,44
Lebanon,LBN,"May 11, 2020",26,45
Lebanon,LBN,"May 12, 2020",26,46
Lebanon,LBN,"May 13, 2020",26,47
Lebanon,LBN,"May 14, 2020",26,48
Lebanon,LBN,"May 15, 2020",26,49
Lebanon,LBN,"May 16, 2020",26,50
Lesotho,LSO,"May 15, 2020",0,
Lesotho,LSO,"May 16, 2020",0,
Liberia,LBR,"Apr 12, 2020",5,0
Liberia,LBR,"Apr 13, 2020",5,1
Liberia,LBR,"Apr 14, 2020",6,2
Liberia,LBR,"Apr 15, 2020",6,3
Liberia,LBR,"Apr 16, 2020",6,4
Liberia,LBR,"Apr 17, 2020",6,5
Liberia,LBR,"Apr 18, 2020",7,6
Liberia,LBR,"Apr 19, 2020",7,7
Liberia,LBR,"Apr 20, 2020",8,8
Liberia,LBR,"Apr 21, 2020",8,9
Liberia,LBR,"Apr 22, 2020",8,10
Liberia,LBR,"Apr 23, 2020",8,11
Liberia,LBR,"Apr 24, 2020",8,12
Liberia,LBR,"Apr 25, 2020",8,13
Liberia,LBR,"Apr 26, 2020",11,14
Liberia,LBR,"Apr 27, 2020",12,15
Liberia,LBR,"Apr 28, 2020",16,16
Liberia,LBR,"Apr 29, 2020",16,17
Liberia,LBR,"Apr 30, 2020",16,18
Liberia,LBR,"May 1, 2020",16,19
Liberia,LBR,"May 2, 2020",18,20
Liberia,LBR,"May 3, 2020",18,21
Liberia,LBR,"May 4, 2020",18,22
Liberia,LBR,"May 5, 2020",18,23
Liberia,LBR,"May 6, 2020",20,24
Liberia,LBR,"May 7, 2020",20,25
Liberia,LBR,"May 8, 2020",20,26
Liberia,LBR,"May 9, 2020",20,27
Liberia,LBR,"May 10, 2020",20,28
Liberia,LBR,"May 11, 2020",20,29
Liberia,LBR,"May 12, 2020",20,30
Liberia,LBR,"May 13, 2020",20,31
Liberia,LBR,"May 14, 2020",20,32
Liberia,LBR,"May 15, 2020",20,33
Liberia,LBR,"May 16, 2020",20,34
Libya,LBY,"Mar 25, 2020",0,
Libya,LBY,"Mar 26, 2020",0,
Libya,LBY,"Mar 27, 2020",0,
Libya,LBY,"Mar 28, 2020",0,
Libya,LBY,"Mar 29, 2020",0,
Libya,LBY,"Mar 30, 2020",0,
Libya,LBY,"Mar 31, 2020",0,
Libya,LBY,"Apr 1, 2020",0,
Libya,LBY,"Apr 2, 2020",0,
Libya,LBY,"Apr 3, 2020",1,
Libya,LBY,"Apr 4, 2020",1,
Libya,LBY,"Apr 5, 2020",1,
Libya,LBY,"Apr 6, 2020",1,
Libya,LBY,"Apr 7, 2020",1,
Libya,LBY,"Apr 8, 2020",1,
Libya,LBY,"Apr 9, 2020",1,
Libya,LBY,"Apr 10, 2020",1,
Libya,LBY,"Apr 11, 2020",1,
Libya,LBY,"Apr 12, 2020",1,
Libya,LBY,"Apr 13, 2020",1,
Libya,LBY,"Apr 14, 2020",1,
Libya,LBY,"Apr 15, 2020",1,
Libya,LBY,"Apr 16, 2020",1,
Libya,LBY,"Apr 17, 2020",1,
Libya,LBY,"Apr 18, 2020",1,
Libya,LBY,"Apr 19, 2020",1,
Libya,LBY,"Apr 20, 2020",1,
Libya,LBY,"Apr 21, 2020",1,
Libya,LBY,"Apr 22, 2020",1,
Libya,LBY,"Apr 23, 2020",1,
Libya,LBY,"Apr 24, 2020",2,
Libya,LBY,"Apr 25, 2020",2,
Libya,LBY,"Apr 26, 2020",2,
Libya,LBY,"Apr 27, 2020",2,
Libya,LBY,"Apr 28, 2020",2,
Libya,LBY,"Apr 29, 2020",2,
Libya,LBY,"Apr 30, 2020",2,
Libya,LBY,"May 1, 2020",3,
Libya,LBY,"May 2, 2020",3,
Libya,LBY,"May 3, 2020",3,
Libya,LBY,"May 4, 2020",3,
Libya,LBY,"May 5, 2020",3,
Libya,LBY,"May 6, 2020",3,
Libya,LBY,"May 7, 2020",3,
Libya,LBY,"May 8, 2020",3,
Libya,LBY,"May 9, 2020",3,
Libya,LBY,"May 10, 2020",3,
Libya,LBY,"May 11, 2020",3,
Libya,LBY,"May 12, 2020",3,
Libya,LBY,"May 13, 2020",3,
Libya,LBY,"May 14, 2020",3,
Libya,LBY,"May 15, 2020",3,
Libya,LBY,"May 16, 2020",3,
Liechtenstein,LIE,"Mar 5, 2020",0,
Liechtenstein,LIE,"Mar 12, 2020",0,
Liechtenstein,LIE,"Mar 13, 2020",0,
Liechtenstein,LIE,"Mar 14, 2020",0,
Liechtenstein,LIE,"Mar 15, 2020",0,
Liechtenstein,LIE,"Mar 16, 2020",0,
Liechtenstein,LIE,"Mar 17, 2020",0,
Liechtenstein,LIE,"Mar 18, 2020",0,
Liechtenstein,LIE,"Mar 19, 2020",0,
Liechtenstein,LIE,"Mar 20, 2020",0,
Liechtenstein,LIE,"Mar 21, 2020",0,
Liechtenstein,LIE,"Mar 22, 2020",0,
Liechtenstein,LIE,"Mar 23, 2020",0,
Liechtenstein,LIE,"Mar 24, 2020",0,
Liechtenstein,LIE,"Mar 25, 2020",0,
Liechtenstein,LIE,"Mar 26, 2020",0,
Liechtenstein,LIE,"Mar 27, 2020",0,
Liechtenstein,LIE,"Mar 28, 2020",0,
Liechtenstein,LIE,"Mar 29, 2020",0,
Liechtenstein,LIE,"Mar 30, 2020",0,
Liechtenstein,LIE,"Mar 31, 2020",0,
Liechtenstein,LIE,"Apr 1, 2020",0,
Liechtenstein,LIE,"Apr 2, 2020",0,
