Task ID,Task Name,Start Date,End Date,Duration,Task
134,Portugal,2020-03-02,2020-05-10,69 days 00:00:00.000000000,Portugal
3,Andorra,2020-03-02,2020-05-10,69 days 00:00:00.000000000,Andorra
145,Senegal,2020-03-02,2020-05-10,69 days 00:00:00.000000000,Senegal
95,Latvia,2020-03-02,2020-05-10,69 days 00:00:00.000000000,Latvia
80,Indonesia,2020-03-02,2020-05-10,69 days 00:00:00.000000000,Indonesia
115,Morocco,2020-03-02,2020-05-10,69 days 00:00:00.000000000,Morocco
51,Ecuador,2020-03-01,2020-05-10,70 days 00:00:00.000000000,Ecuador
78,Iceland,2020-02-28,2020-05-08,70 days 00:00:00.000000000,Iceland
7,Armenia,2020-03-01,2020-05-10,70 days 00:00:00.000000000,Armenia
10,Azerbaijan,2020-03-01,2020-05-10,70 days 00:00:00.000000000,Azerbaijan
46,Czechia,2020-03-01,2020-05-10,70 days 00:00:00.000000000,Czechia
50,Dominican Republic,2020-03-01,2020-05-10,70 days 00:00:00.000000000,Dominican Republic
83,Ireland,2020-02-29,2020-05-10,71 days 00:00:00.000000000,Ireland
135,Qatar,2020-02-29,2020-05-10,71 days 00:00:00.000000000,Qatar
112,Monaco,2020-02-29,2020-05-10,71 days 00:00:00.000000000,Monaco
101,Luxembourg,2020-02-29,2020-05-10,71 days 00:00:00.000000000,Luxembourg
15,Belarus,2020-02-28,2020-05-10,72 days 00:00:00.000000000,Belarus
123,Nigeria,2020-02-28,2020-05-10,72 days 00:00:00.000000000,Nigeria
110,Mexico,2020-02-28,2020-05-10,72 days 00:00:00.000000000,Mexico
120,New Zealand,2020-02-28,2020-05-10,72 days 00:00:00.000000000,New Zealand
100,Lithuania,2020-02-28,2020-05-10,72 days 00:00:00.000000000,Lithuania
142,San Marino,2020-02-27,2020-05-10,73 days 00:00:00.000000000,San Marino
56,Estonia,2020-02-27,2020-05-10,73 days 00:00:00.000000000,Estonia
119,Netherlands,2020-02-27,2020-05-10,73 days 00:00:00.000000000,Netherlands
47,Denmark,2020-02-27,2020-05-10,73 days 00:00:00.000000000,Denmark
67,Greece,2020-02-26,2020-05-10,74 days 00:00:00.000000000,Greece
64,Georgia,2020-02-26,2020-05-10,74 days 00:00:00.000000000,Georgia
