,Axis1,Axis2,Kernel
640,21.166655,-5.839786,5
641,17.794123,-45.714634,0
642,9.927952,-13.0170555,8
643,-1.4842937,-27.338507,5
644,-12.342719,7.307689,5
645,-18.49446,45.229668,14
646,-26.707932,60.3486,14
647,26.70409,21.84598,13
648,35.097637,-33.194145,1
649,28.923584,4.014791,12
650,36.152546,-3.0919857,12
651,-23.205025,21.600464,3
652,-10.395805,20.949974,3
653,15.787777,-2.9968445,5
654,-18.255262,25.401976,3
655,16.770063,-44.649643,8
656,-35.338387,43.440315,11
657,-31.3935,-21.911438,5
658,4.6020055,37.656235,14
659,24.051716,-55.794598,0
660,-42.71591,20.059986,11
661,1.8780882,2.8513942,6
662,-23.998774,-23.363754,9
663,-37.19446,-8.312693,3
664,30.015955,17.468164,13
665,-38.6719,1.480526,8
666,-33.0739,-20.91646,3
667,28.048306,-40.530346,0
668,-34.527824,6.3788915,3
669,36.28383,2.2806256,12
670,-23.918108,50.283863,14
671,-0.4655524,-35.063732,5
672,-23.485918,1.5108874,3
673,-33.466515,34.426674,11
674,42.130997,-10.394191,12
675,-11.880285,27.758959,11
676,-24.690317,12.397225,3
677,-1.7742143,-41.931343,4
678,48.81756,2.8969715,12
679,11.553149,25.757149,14
680,-49.854942,16.120008,10
681,-31.281462,45.711124,11
682,8.088134,-40.385334,8
683,-38.984264,-2.8603537,3
684,-57.7259,24.729996,5
685,25.555454,-13.79248,8
686,-1.6734723,56.882725,2
687,-45.37238,18.734987,3
688,-4.3319135,-46.63419,4
689,9.001524,40.849274,14
690,-35.88313,-3.5946183,3
691,-30.53769,61.039433,14
692,47.56635,-43.22705,5
693,-16.959406,43.38388,3
694,-34.665012,8.968402,5
695,22.732983,13.452974,5
696,-34.20238,-22.851814,5
697,-26.632648,40.51223,11
698,29.148127,0.100071445,12
699,-46.088966,38.912033,5
700,15.747721,-41.829224,8
701,44.280586,-2.3606405,8
702,-14.793657,-20.757261,9
703,23.188524,33.077946,3
704,1.5835962,-36.836445,0
705,-9.866681,-4.815835,7
706,-19.02092,27.80995,3
707,-16.606785,26.40871,9
708,-27.531675,26.404057,11
709,1.7485936,3.4287739,6
710,31.490032,-10.711289,8
711,-33.7822,-21.58798,3
712,28.058353,-29.2752,5
713,-2.4384964,-45.76452,4
714,-24.642763,-33.21535,5
715,-40.438984,10.457015,3
716,41.601658,-30.443193,5
717,9.369749,23.865292,14
718,17.208824,-23.096598,5
719,-16.829565,46.53736,5
720,-11.625187,28.600853,5
721,21.086552,15.527322,1
722,33.65414,14.675898,13
723,32.499573,-9.892245,12
724,-10.760578,21.32094,11
725,-46.46611,23.822369,11
726,27.738768,-12.706582,8
727,26.153564,17.77527,13
728,-26.856848,5.9219055,3
729,46.138245,3.9049401,12
730,-36.1577,16.398012,3
731,2.6138568,-49.889816,4
732,14.702553,2.312265,5
733,30.080654,19.003809,13
734,-4.3694882,37.402493,3
735,9.238893,-51.43299,0
736,20.681843,4.075226,1
737,47.1824,2.327991,12
738,-22.556648,28.107567,3
739,22.252735,-10.697906,8
740,-29.789438,57.4762,14
741,2.02286,41.09143,11
742,19.819859,15.021501,13
743,6.847587,27.08919,1
744,6.887583,-51.60578,4
745,45.271893,-45.268627,0
746,20.714558,10.053553,1
747,-18.753534,-24.727411,9
748,-39.997505,41.320435,11
749,26.851606,-31.732336,0
750,24.109419,-43.503063,0
751,19.879107,-25.391136,5
752,-8.703716,3.3774948,3
753,10.108166,15.867924,5
754,-33.57778,34.16915,11
755,30.859852,-34.923824,0
756,-24.938978,10.797479,3
757,-0.26710576,-15.982664,8
758,-6.580479,-2.988198,5
759,-11.157029,22.31843,3
760,-25.306421,-6.159272,5
761,-32.03389,7.426943,3
762,-19.6845,42.663036,11
763,-28.684057,20.988047,11
764,2.3229673,-48.080418,4
765,5.6499157,-12.658454,8
766,-0.94165885,57.203636,2
767,21.46147,-47.62504,0
768,4.4620533,-52.682766,4
769,-28.794592,40.376488,11
770,32.681503,-38.76765,0
771,-23.125397,-31.936129,9
772,-55.769035,26.59028,10
773,14.093789,-10.973058,8
774,12.352765,-46.891365,0
775,-35.045055,14.765359,11
776,10.388082,12.26604,5
777,37.622795,-7.084265,12
778,-4.907658,-17.033985,3
