Entity,Code,date,deaths,fivedeath
Belize,BLZ,13-Apr-20,2,
Belize,BLZ,14-Apr-20,2,
Belize,BLZ,15-Apr-20,2,
Belize,BLZ,16-Apr-20,2,
Belize,BLZ,17-Apr-20,2,
Belize,BLZ,18-Apr-20,2,
Belize,BLZ,19-Apr-20,2,
Belize,BLZ,20-Apr-20,2,
Belize,BLZ,21-Apr-20,2,
Belize,BLZ,22-Apr-20,2,
Benin,BEN,1-Apr-20,0,
Benin,BEN,2-Apr-20,0,
Benin,BEN,3-Apr-20,0,
Benin,BEN,4-Apr-20,0,
Benin,BEN,5-Apr-20,0,
Benin,BEN,6-Apr-20,0,
Benin,BEN,7-Apr-20,1,
Benin,BEN,8-Apr-20,1,
Benin,BEN,9-Apr-20,1,
Benin,BEN,10-Apr-20,1,
Benin,BEN,11-Apr-20,1,
Benin,BEN,12-Apr-20,1,
Benin,BEN,13-Apr-20,1,
Benin,BEN,14-Apr-20,1,
Benin,BEN,15-Apr-20,1,
Benin,BEN,16-Apr-20,1,
Benin,BEN,17-Apr-20,1,
Benin,BEN,18-Apr-20,1,
Benin,BEN,19-Apr-20,1,
Benin,BEN,20-Apr-20,1,
Benin,BEN,21-Apr-20,1,
Benin,BEN,22-Apr-20,1,
Bermuda,BMU,1-Apr-20,0,
Bermuda,BMU,2-Apr-20,0,
Bermuda,BMU,3-Apr-20,0,
Bermuda,BMU,4-Apr-20,0,
Bermuda,BMU,5-Apr-20,0,
Bermuda,BMU,6-Apr-20,0,
Bermuda,BMU,7-Apr-20,2,
Bermuda,BMU,8-Apr-20,2,
Bermuda,BMU,9-Apr-20,3,
Bermuda,BMU,10-Apr-20,4,
Bermuda,BMU,11-Apr-20,4,
Bermuda,BMU,12-Apr-20,4,
Bermuda,BMU,13-Apr-20,4,
Bermuda,BMU,14-Apr-20,4,
Bermuda,BMU,15-Apr-20,5,0
Bermuda,BMU,16-Apr-20,5,1
Bermuda,BMU,17-Apr-20,5,2
Bermuda,BMU,18-Apr-20,5,3
Bermuda,BMU,19-Apr-20,5,4
Bermuda,BMU,20-Apr-20,5,5
Bermuda,BMU,21-Apr-20,5,6
Bermuda,BMU,22-Apr-20,5,7
Bhutan,BTN,1-Apr-20,0,
Bhutan,BTN,2-Apr-20,0,
Bhutan,BTN,3-Apr-20,0,
Bhutan,BTN,4-Apr-20,0,
Bhutan,BTN,5-Apr-20,0,
Bhutan,BTN,6-Apr-20,0,
Bhutan,BTN,7-Apr-20,0,
Bhutan,BTN,8-Apr-20,0,
Bhutan,BTN,9-Apr-20,0,
Bhutan,BTN,10-Apr-20,0,
Bhutan,BTN,11-Apr-20,0,
Bhutan,BTN,12-Apr-20,0,
Bhutan,BTN,13-Apr-20,0,
Bhutan,BTN,14-Apr-20,0,
Bhutan,BTN,15-Apr-20,0,
Bhutan,BTN,16-Apr-20,0,
Bhutan,BTN,17-Apr-20,0,
Bhutan,BTN,18-Apr-20,0,
Bhutan,BTN,19-Apr-20,0,
