Entity,Code,Date,Total confirmed cases of COVID-19 per million people (cases per million)
Kuwait,KWT,"Feb 16, 2020",0
Kuwait,KWT,"Feb 17, 2020",0
Kuwait,KWT,"Feb 18, 2020",0
Kuwait,KWT,"Feb 19, 2020",0
Kuwait,KWT,"Feb 20, 2020",0
Kuwait,KWT,"Feb 21, 2020",0
Kuwait,KWT,"Feb 22, 2020",0
Kuwait,KWT,"Feb 23, 2020",0
Kuwait,KWT,"Feb 24, 2020",0.702483489881779
Kuwait,KWT,"Feb 25, 2020",1.1708058164696318
Kuwait,KWT,"Feb 26, 2020",2.5757727962331898
Kuwait,KWT,"Feb 27, 2020",6.088190245642085
Kuwait,KWT,"Feb 28, 2020",10.068930021638833
Kuwait,KWT,"Feb 29, 2020",10.537252348226685
Kuwait,KWT,"Mar 1, 2020",10.537252348226685
Kuwait,KWT,"Mar 2, 2020",10.771413511520612
Kuwait,KWT,"Mar 3, 2020",13.113025144459876
Kuwait,KWT,"Mar 6, 2020",13.581347471047728
Kuwait,KWT,"Mar 8, 2020",14.283830960929507
Kuwait,KWT,"Mar 9, 2020",14.986314450811285
Kuwait,KWT,"Mar 10, 2020",15.220475614105213
Kuwait,KWT,"Mar 11, 2020",16.157120267280916
Kuwait,KWT,"Mar 12, 2020",16.859603757162695
Kuwait,KWT,"Mar 13, 2020",18.73289306351411
Kuwait,KWT,"Mar 14, 2020",23.416116329392633
Kuwait,KWT,"Mar 15, 2020",24.35276098256834
Kuwait,KWT,"Mar 16, 2020",26.22605028891975
Kuwait,KWT,"Mar 17, 2020",28.80182308515294
Kuwait,KWT,"Mar 18, 2020",30.440951228210427
Kuwait,KWT,"Mar 19, 2020",33.25088518773754
Kuwait,KWT,"Mar 20, 2020",34.6558521675011
Kuwait,KWT,"Mar 21, 2020",37.23162496373429
Kuwait,KWT,"Mar 22, 2020",41.212364739731036
Kuwait,KWT,"Mar 23, 2020",44.02229869925815
Kuwait,KWT,"Mar 24, 2020",44.25645986255208
Kuwait,KWT,"Mar 25, 2020",44.72478218913993
Kuwait,KWT,"Mar 26, 2020",45.661426842315635
Kuwait,KWT,"Mar 27, 2020",48.70552196513668
Kuwait,KWT,"Mar 28, 2020",52.68626174113343
Kuwait,KWT,"Mar 29, 2020",55.02787337407269
Kuwait,KWT,"Mar 30, 2020",59.711096639951215
Kuwait,KWT,"Mar 31, 2020",62.28686943618441
Kuwait,KWT,"Apr 1, 2020",67.67257619194471
Kuwait,KWT,"Apr 2, 2020",74.22908876417465
Kuwait,KWT,"Apr 3, 2020",80.08311784652281
Kuwait,KWT,"Apr 4, 2020",80.08311784652281
Kuwait,KWT,"Apr 5, 2020",112.16319721779072
Kuwait,KWT,"Apr 6, 2020",130.19360679142304
Kuwait,KWT,"Apr 7, 2020",155.71717359046102
Kuwait,KWT,"Apr 8, 2020",173.98174432738728
Kuwait,KWT,"Apr 9, 2020",200.207794616307
Kuwait,KWT,"Apr 10, 2020",213.08665859747296
Kuwait,KWT,"Apr 11, 2020",232.52203515086887
Kuwait,KWT,"Apr 12, 2020",270.221982441191
Kuwait,KWT,"Apr 13, 2020",288.9548755047051
Kuwait,KWT,"Apr 14, 2020",304.40951228210423
Kuwait,KWT,"Apr 15, 2020",317.2883762632702
Kuwait,KWT,"Apr 16, 2020",328.9964344279665
Kuwait,KWT,"Apr 17, 2020",356.86161285994376
Kuwait,KWT,"Apr 18, 2020",388.2392087413299
Kuwait,KWT,"Apr 19, 2020",410.25035809095897
Kuwait,KWT,"Apr 20, 2020",448.41862770786895
Kuwait,KWT,"Apr 21, 2020",467.15152077138305
Kuwait,KWT,"Apr 22, 2020",487.0552196513668
Kyrgyzstan,KGZ,"Mar 19, 2020",0.4598271264590506
Kyrgyzstan,KGZ,"Mar 20, 2020",0.9196542529181012
Kyrgyzstan,KGZ,"Mar 21, 2020",0.9196542529181012
Kyrgyzstan,KGZ,"Mar 22, 2020",2.1458599234755695
Kyrgyzstan,KGZ,"Mar 23, 2020",2.1458599234755695
Kyrgyzstan,KGZ,"Mar 24, 2020",2.452411341114937
Kyrgyzstan,KGZ,"Mar 25, 2020",6.437579770426709
Kyrgyzstan,KGZ,"Mar 26, 2020",6.744131188066076
Kyrgyzstan,KGZ,"Mar 27, 2020",6.744131188066076
Kyrgyzstan,KGZ,"Mar 28, 2020",8.889991111541645
Kyrgyzstan,KGZ,"Mar 29, 2020",12.875159540853417
Kyrgyzstan,KGZ,"Mar 30, 2020",12.875159540853417
Kyrgyzstan,KGZ,"Mar 31, 2020",12.875159540853417
Kyrgyzstan,KGZ,"Apr 1, 2020",16.40050084370614
Kyrgyzstan,KGZ,"Apr 2, 2020",17.166879387804556
Kyrgyzstan,KGZ,"Apr 3, 2020",19.15946360246044
Kyrgyzstan,KGZ,"Apr 4, 2020",22.07170207003443
Kyrgyzstan,KGZ,"Apr 5, 2020",22.07170207003443
Kyrgyzstan,KGZ,"Apr 6, 2020",33.10755310505164
Kyrgyzstan,KGZ,"Apr 7, 2020",34.94686161088785
Kyrgyzstan,KGZ,"Apr 8, 2020",41.38444138131456
Kyrgyzstan,KGZ,"Apr 9, 2020",42.91719846951139
Kyrgyzstan,KGZ,"Apr 10, 2020",45.6761612282657
Kyrgyzstan,KGZ,"Apr 11, 2020",51.96046528987272
Kyrgyzstan,KGZ,"Apr 12, 2020",57.78494222502069
Kyrgyzstan,KGZ,"Apr 13, 2020",64.22252199544741
Kyrgyzstan,KGZ,"Apr 14, 2020",65.90855479246392
Kyrgyzstan,KGZ,"Apr 15, 2020",68.82079326003792
Kyrgyzstan,KGZ,"Apr 16, 2020",71.42648030997253
Kyrgyzstan,KGZ,"Apr 17, 2020",74.95182161282526
Kyrgyzstan,KGZ,"Apr 18, 2020",77.55750866275987
Kyrgyzstan,KGZ,"Apr 19, 2020",84.91474268610469
Kyrgyzstan,KGZ,"Apr 20, 2020",87.06060260958026
Kyrgyzstan,KGZ,"Apr 21, 2020",90.43266820361329
Kyrgyzstan,KGZ,"Apr 22, 2020",93.80473379764632
Laos,LAO,"Mar 25, 2020",0.27489308033640314
Laos,LAO,"Mar 26, 2020",0.27489308033640314
Laos,LAO,"Mar 27, 2020",0.8246792410092095
Laos,LAO,"Mar 28, 2020",0.8246792410092095
Laos,LAO,"Mar 29, 2020",0.8246792410092095
Laos,LAO,"Mar 30, 2020",0.8246792410092095
Laos,LAO,"Mar 31, 2020",1.2370188615138142
Laos,LAO,"Apr 1, 2020",1.2370188615138142
Laos,LAO,"Apr 2, 2020",1.3744654016820157
Laos,LAO,"Apr 3, 2020",1.3744654016820157
Laos,LAO,"Apr 4, 2020",1.3744654016820157
Laos,LAO,"Apr 5, 2020",1.3744654016820157
Laos,LAO,"Apr 6, 2020",1.5119119418502174
Laos,LAO,"Apr 7, 2020",1.649358482018419
Laos,LAO,"Apr 8, 2020",1.649358482018419
Laos,LAO,"Apr 9, 2020",2.0616981025230237
Laos,LAO,"Apr 10, 2020",2.199144642691225
Laos,LAO,"Apr 11, 2020",2.199144642691225
Laos,LAO,"Apr 12, 2020",2.4740377230276285
Laos,LAO,"Apr 13, 2020",2.61148426319583
Laos,LAO,"Apr 14, 2020",2.61148426319583
Laos,LAO,"Apr 15, 2020",2.61148426319583
Laos,LAO,"Apr 16, 2020",2.61148426319583
Laos,LAO,"Apr 17, 2020",2.61148426319583
Laos,LAO,"Apr 18, 2020",2.61148426319583
Laos,LAO,"Apr 19, 2020",2.61148426319583
Laos,LAO,"Apr 20, 2020",2.61148426319583
Laos,LAO,"Apr 21, 2020",2.61148426319583
Laos,LAO,"Apr 22, 2020",2.61148426319583
Latvia,LVA,"Mar 3, 2020",0.530165910119913
Latvia,LVA,"Mar 8, 2020",1.060331820239826
Latvia,LVA,"Mar 9, 2020",1.5904977303597387
Latvia,LVA,"Mar 10, 2020",3.1809954607194775
Latvia,LVA,"Mar 11, 2020",4.241327280959304
Latvia,LVA,"Mar 12, 2020",5.30165910119913
Latvia,LVA,"Mar 13, 2020",8.482654561918608
Latvia,LVA,"Mar 14, 2020",10.073152292278346
Latvia,LVA,"Mar 15, 2020",13.784313663117736
Latvia,LVA,"Mar 16, 2020",16.4351432137173
Latvia,LVA,"Mar 17, 2020",19.085972764316868
Latvia,LVA,"Mar 18, 2020",32.34012051731469
Latvia,LVA,"Mar 19, 2020",37.641779618513816
Latvia,LVA,"Mar 20, 2020",45.59426827031251
Latvia,LVA,"Mar 21, 2020",58.848416023310335
Latvia,LVA,"Mar 22, 2020",65.7405728548692
Latvia,LVA,"Mar 23, 2020",73.6930615066679
Latvia,LVA,"Mar 24, 2020",95.42986382158433
Latvia,LVA,"Mar 25, 2020",104.44268429362285
Latvia,LVA,"Mar 26, 2020",117.16666613650077
